date,close,high,low,open,volume,daily_return,rsi,macd,macd_signal,macd_diff,stochastic_k,stochastic_d,bollinger_hband,bollinger_lband,bollinger_mavg,bollinger_width,atr,ema_20,ema_50,ema_200,ema_9,ichimoku_a,ichimoku_b,ichimoku_base,ichimoku_conversion,adx,volume_sma_20,volume_ratio,awesome_osc,ema_price_diff,signal_ema_price,signal_macd_buy,signal_stochastic_buy,signal_ichimoku_buy,signal_ichimoku_aggressive,signal_ichimoku_kijun_cross,signal_ichimoku_chikou,signal_bollinger_buy,signal_macd_&_stochastic,signal_ema_price_&_macd,signal_ichimoku_kijun_cross_&_stochastic,signal_ema_price_&_stochastic,retorno_futuro,target,body_size,upper_wick,lower_wick,rsi_roc_5,month_sin,month_cos,price_vs_kijun,tenkan_vs_kijun
2011-07-28,92.549,93.605,92.424,92.782,169150,-0.003,44.07,0.258,0.439,-0.181,11.988,30.388,96.438,92.173,94.305,4.523,1.159,93.803,93.425,90.264,93.913,93.492,92.876,93.054,93.932,12.991,145385.0,1.163,1.468,-1.2539999999999907,False,False,False,False,False,False,False,False,False,False,False,False,-0.09335595198219326,0,0.23299999999998988,0.8230000000000075,0.125,-27.176283957961534,-0.4999999999999998,-0.8660254037844388,-0.5049999999999955,0.8780000000000001
2011-07-29,91.834,92.735,91.243,91.647,194600,-0.008,40.96,0.071,0.366,-0.295,13.113,14.782,96.591,91.827,94.209,5.057,1.183,93.615,93.363,90.28,93.497,93.275,92.876,93.054,93.496,14.001,148872.5,1.307,0.742,-1.7809999999999917,False,False,False,False,False,False,False,False,False,False,False,False,-0.10000653352788724,0,0.1869999999999976,0.9009999999999962,0.4040000000000106,-32.66148256530816,-0.4999999999999998,-0.8660254037844388,-1.2199999999999989,0.44199999999999307
2011-08-01,91.507,93.092,90.653,93.061,435950,-0.004,39.584,-0.103,0.272,-0.375,16.755,13.952,96.636,91.416,94.026,5.552,1.273,93.414,93.29,90.292,93.099,93.198,92.876,93.194,93.202,15.268,163692.5,2.663,0.049,-1.9069999999999965,False,False,False,False,False,False,False,False,False,False,False,False,-0.08490060869660254,0,1.554000000000002,0.0309999999999917,0.8539999999999992,-31.06594918412482,-0.8660254037844384,-0.5000000000000004,-1.6869999999999976,0.007999999999995566
2011-08-02,89.223,91.29,89.177,90.87,258400,-0.025,31.599,-0.42,0.134,-0.554,0.7,10.189,97.036,90.435,93.736,7.042,1.348,93.015,93.131,90.281,92.324,92.631,92.798,92.798,92.464,17.157,172020.0,1.502,-0.84,-3.7920000000000016,False,False,False,False,False,False,False,False,False,False,False,False,-0.034127971487172615,0,1.6470000000000056,0.4200000000000017,0.04599999999999227,-42.50859669232029,-0.8660254037844384,-0.5000000000000004,-3.575000000000003,-0.3340000000000032
2011-08-03,89.674,89.767,87.778,89.317,380550,0.005,34.412,-0.627,-0.019,-0.608,23.783,13.746,97.134,89.789,93.462,7.858,1.394,92.697,92.995,90.275,91.794,91.923,92.098,92.098,91.748,19.45,186305.0,2.043,-1.731,-3.022999999999996,False,False,False,False,False,False,False,False,False,False,False,False,-0.03725717599304157,0,0.35700000000001353,0.09299999999998931,1.5389999999999873,-23.94801980198019,-0.8660254037844384,-0.5000000000000004,-2.4239999999999924,-0.3499999999999943
2011-08-04,85.478,88.54,85.339,88.477,504200,-0.047,24.37,-1.118,-0.238,-0.8800000000000001,1.335,8.606,97.782,88.069,92.925,10.452,1.604,92.009,92.7,90.227,90.531,90.665,90.878,90.878,90.451,22.289,201745.0,2.499,-2.86,-6.531000000000006,False,False,False,False,False,False,False,False,False,False,False,False,0.015091602517606884,0,2.9990000000000094,0.06300000000000239,0.1389999999999958,-44.70161107329249,-0.8660254037844384,-0.5000000000000004,-5.400000000000006,-0.4270000000000067
2011-08-05,85.292,86.753,83.085,86.535,538450,-0.002,24.035,-1.504,-0.492,-1.012,17.426,14.181,98.141,86.685,92.413,12.396,1.751,91.37,92.41,90.178,89.483,89.441,89.752,89.752,89.13,25.401,223387.5,2.41,-4.112,-6.078000000000003,False,False,False,False,False,False,False,False,False,False,False,False,0.007468461285935479,0,1.242999999999995,0.21800000000000352,2.207000000000008,-41.32080078125,-0.8660254037844384,-0.5000000000000004,-4.459999999999994,-0.6219999999999999
2011-08-08,79.822,84.096,79.667,82.371,790300,-0.064,16.747,-2.226,-0.838,-1.388,0.964,6.575,99.601,83.829,91.715,17.198,2.028,90.27,91.916,90.075,87.551,87.487,88.042,88.042,86.932,28.803,258265.0,3.06,-5.859,-10.447999999999993,False,False,False,False,False,False,False,False,False,False,False,False,0.048670792513342054,1,2.5489999999999924,1.7250000000000085,0.15500000000000114,-57.6925020210186,-0.8660254037844384,-0.5000000000000004,-8.219999999999999,-1.1099999999999994
2011-08-09,83.396,83.443,78.408,81.112,579800,0.045,31.386,-2.481,-1.167,-1.3139999999999998,28.763,15.717,99.848,82.585,91.217,18.925,2.243,89.615,91.582,90.009,86.72,86.71,87.413,87.413,86.006,32.11,280635.0,2.066,-7.406,-6.218999999999994,False,False,False,False,False,False,False,False,False,False,False,False,-0.0031656194541703764,0,2.284000000000006,0.046999999999997044,2.7039999999999935,-0.6740719643026694,-0.8660254037844384,-0.5000000000000004,-4.016999999999996,-1.4069999999999965
2011-08-10,79.776,82.588,79.62,81.936,403100,-0.043,26.335,-2.941,-1.522,-1.4189999999999998,7.903,12.543,100.397,80.646,90.522,21.82,2.352,88.678,91.119,89.907,85.331,86.582,87.413,87.413,85.75,35.182,294305.0,1.37,-8.626,-8.902000000000001,False,False,False,False,False,False,False,False,False,False,False,False,0.07147513036502207,1,2.160000000000011,0.6519999999999868,0.1559999999999917,-23.471463442984998,-0.8660254037844384,-0.5000000000000004,-7.6370000000000005,-1.6629999999999967
2011-08-11,83.272,84.453,80.226,80.584,919300,0.044,36.897,-2.989,-1.815,-1.174,28.353,21.673,100.316,79.746,90.031,22.847,2.518,88.163,90.811,89.841,84.919,86.582,87.413,87.413,85.75,36.572,337475.0,2.724,-9.308,-4.890999999999991,False,False,False,False,False,False,False,False,False,False,False,False,0.01567153424920731,0,2.6880000000000024,1.1809999999999974,0.3580000000000041,51.403364792777985,-0.8660254037844384,-0.5000000000000004,-4.140999999999991,-1.6629999999999967
2011-08-12,83.94,84.686,83.381,84.282,307200,0.008,38.705,-2.94,-2.04,-0.8999999999999999,32.993,23.083,100.024,79.073,89.549,23.396,2.44,87.761,90.542,89.782,84.723,85.964,87.413,87.079,84.849,37.693,350817.5,0.876,-9.293,-3.820999999999998,False,False,False,False,False,False,False,False,False,False,False,False,-0.018882535144150503,0,0.34199999999999875,0.4040000000000106,0.5589999999999975,61.035989182442265,-0.8660254037844384,-0.5000000000000004,-3.138999999999996,-2.2299999999999898
2011-08-15,85.665,85.774,84.577,84.764,225950,0.021,43.23,-2.73,-2.178,-0.552,45.965,35.771,99.686,78.698,89.192,23.532,2.396,87.561,90.351,89.741,84.912,85.583,87.413,87.079,84.088,37.948,357415.0,0.632,-8.474,-1.8960000000000008,False,False,False,False,False,False,False,False,False,False,False,False,-0.03173991711901014,0,0.9010000000000105,0.10899999999999466,0.1869999999999976,158.13578551382338,-0.8660254037844384,-0.5000000000000004,-1.4139999999999873,-2.9909999999999997
2011-08-16,84.935,85.743,84.096,84.857,263800,-0.009,41.823,-2.592,-2.261,-0.33099999999999996,42.949,40.636,99.099,78.348,88.724,23.388,2.343,87.311,90.138,89.693,84.916,85.276,87.413,87.079,83.474,38.324,358940.0,0.735,-7.478,-2.3760000000000048,False,False,False,False,False,False,False,False,False,False,False,False,-0.015376464355094988,0,0.07800000000000296,0.8079999999999927,0.7609999999999957,33.253679984706565,-0.8660254037844384,-0.5000000000000004,-2.1439999999999912,-3.6049999999999898
2011-08-17,85.028,86.084,84.375,85.463,160550,0.001,42.082,-2.448,-2.298,-0.1499999999999999,45.083,44.666,98.423,78.097,88.26,23.031,2.297,87.094,89.938,89.647,84.939,84.83,87.413,87.079,82.58,38.421,362430.0,0.443,-6.436,-2.0659999999999883,False,False,False,False,False,False,False,False,False,False,False,False,-0.0025638613162722868,0,0.43499999999998806,0.6210000000000093,0.6530000000000058,59.79494968672869,-0.8660254037844384,-0.5000000000000004,-2.0509999999999877,-4.498999999999995
2011-08-18,81.501,82.899,80.599,82.806,524000,-0.041,35.615,-2.588,-2.356,-0.2320000000000002,21.064,36.365,97.546,77.567,87.557,22.818,2.45,86.561,89.607,89.566,84.251,84.663,87.413,87.079,82.246,39.492,376917.5,1.39,-6.209,-5.060000000000002,False,False,False,False,False,False,False,False,False,False,False,False,0.05852688924062277,1,1.3049999999999926,0.09300000000000352,0.902000000000001,-3.474537225248653,-0.8660254037844384,-0.5000000000000004,-5.577999999999989,-4.832999999999998
2011-08-19,79.947,82.215,79.9,80.304,1438400,-0.019,33.195,-2.792,-2.443,-0.34899999999999975,11.947,26.031,96.562,76.983,86.772,22.564,2.44,85.931,89.228,89.47,83.39,84.663,87.413,87.079,82.246,40.631,444325.0,3.237,-6.41,-5.983999999999995,False,False,False,False,False,False,False,False,False,False,False,False,0.08551915644114239,1,0.3569999999999993,1.9110000000000014,0.046999999999997044,-14.235886836326051,-0.8660254037844384,-0.5000000000000004,-7.131999999999991,-4.832999999999998
2011-08-22,80.009,81.873,79.853,81.827,246400,0.001,33.39,-2.916,-2.538,-0.3780000000000001,14.095,15.702,95.443,76.592,86.018,21.916,2.41,85.367,88.867,89.376,82.714,84.966,87.413,87.079,82.852,41.699,447462.5,0.551,-6.856,-5.358000000000004,False,False,False,False,False,False,False,False,False,False,False,False,0.07457910985014182,1,1.8179999999999978,0.04600000000000648,0.1560000000000059,-22.7619708535739,-0.8660254037844384,-0.5000000000000004,-7.069999999999993,-4.22699999999999
2011-08-23,82.775,82.806,80.024,80.428,301950,0.035,41.563,-2.758,-2.582,-0.17600000000000016,43.101,23.048,94.052,76.792,85.422,20.205,2.438,85.12,88.628,89.31,82.726,85.024,87.413,87.079,82.968,41.992,455617.5,0.663,-7.159,-2.344999999999999,False,False,False,False,False,False,False,False,False,False,False,False,0.03697976442162476,0,2.3470000000000084,0.0309999999999917,0.40399999999999636,-0.6216675035267683,-0.8660254037844384,-0.5000000000000004,-4.303999999999988,-4.11099999999999
2011-08-24,83.909,83.971,82.402,82.604,151000,0.014,44.566,-2.513,-2.568,0.05500000000000016,65.92,41.038,92.927,77.026,84.977,18.713,2.376,85.005,88.443,89.257,82.963,85.024,87.413,87.079,82.968,41.453,439652.5,0.343,-7.187,-1.0959999999999894,False,False,False,False,False,False,False,False,False,False,False,False,-0.007961005374870433,0,1.3050000000000068,0.06199999999999761,0.20199999999999818,5.902761275604784,-0.8660254037844384,-0.5000000000000004,-3.1699999999999875,-4.11099999999999
2011-08-25,82.65,84.826,82.06,84.468,294150,-0.015,41.987,-2.393,-2.533,0.14000000000000012,55.263,54.761,91.682,77.281,84.482,17.047,2.404,84.781,88.215,89.191,82.9,85.024,87.413,87.079,82.968,40.396,445902.5,0.66,-6.503,-2.1310000000000002,False,False,False,False,False,False,False,False,False,False,False,False,-0.024440411373260806,0,1.8179999999999978,0.3579999999999899,0.5900000000000034,17.891337919415975,-0.8660254037844384,-0.5000000000000004,-4.428999999999988,-4.11099999999999
2011-08-26,83.738,84.127,80.817,82.091,197500,0.013,44.952,-2.185,-2.463,0.278,69.437,63.54,90.44,77.713,84.077,15.137,2.468,84.681,88.04,89.137,83.068,85.016,87.413,87.063,82.968,39.85,446047.5,0.443,-5.878,-0.9429999999999978,False,False,False,False,False,False,False,False,False,False,False,False,-0.032637512240559885,0,1.6470000000000056,0.3889999999999958,1.274000000000001,35.4179846362404,-0.8660254037844384,-0.5000000000000004,-3.325000000000003,-4.094999999999999
2011-08-29,86.178,86.209,84.872,84.95,159000,0.029,51.002,-1.802,-2.331,0.5289999999999999,99.53,74.743,89.292,78.329,83.81,13.081,2.468,84.824,87.967,89.107,83.69,85.008,87.413,86.986,83.031,38.105,432200.0,0.368,-4.698,1.3539999999999992,False,False,False,False,False,False,False,False,False,False,False,False,-0.03717886235466117,0,1.2279999999999944,0.03100000000000591,0.07800000000000296,52.74633123689727,-0.8660254037844384,-0.5000000000000004,-0.8080000000000069,-3.9549999999999983
2011-08-30,86.333,86.955,85.199,85.851,129900,0.002,51.367,-1.469,-2.159,0.6899999999999997,91.242,86.736,88.704,78.628,83.666,12.043,2.418,84.968,87.903,89.08,84.218,85.098,87.413,86.792,83.404,36.089,425775.0,0.305,-3.531,1.3649999999999949,False,False,False,False,False,False,False,False,False,False,False,False,-0.027868833470399368,0,0.4819999999999993,0.6219999999999999,0.652000000000001,23.588287659697315,-0.8660254037844384,-0.5000000000000004,-0.4590000000000032,-3.3880000000000052
2011-08-31,86.768,87.716,86.178,87.001,214950,0.005,52.44,-1.157,-1.958,0.8009999999999999,87.944,92.905,87.993,79.048,83.521,10.709,2.355,85.139,87.858,89.057,84.728,85.043,87.413,86.302,83.784,33.825,417495.0,0.515,-2.583,1.6290000000000049,False,False,False,False,False,True,False,False,False,False,False,False,-0.05201226258528491,0,0.2330000000000041,0.7149999999999892,0.5900000000000034,17.668177534443295,-0.8660254037844384,-0.5000000000000004,0.465999999999994,-2.5180000000000007
2011-09-01,85.929,87.638,85.882,86.815,274900,-0.01,50.143,-0.966,-1.76,0.794,77.273,85.486,88.059,79.027,83.543,10.811,2.312,85.214,87.783,89.025,84.969,84.896,87.413,86.006,83.784,31.862,406030.0,0.677,-1.727,0.7150000000000034,False,False,False,False,False,False,False,False,False,False,False,False,-0.035843545252475906,0,0.8859999999999957,0.8230000000000075,0.046999999999997044,19.425060137661653,-1.0,-1.8369701987210297e-16,-0.07699999999999818,-2.221999999999994
