date,close,high,low,open,volume,daily_return,rsi,macd,macd_signal,macd_diff,stochastic_k,stochastic_d,bollinger_hband,bollinger_lband,bollinger_mavg,bollinger_width,atr,ema_20,ema_50,ema_200,ema_9,ichimoku_a,ichimoku_b,ichimoku_base,ichimoku_conversion,adx,volume_sma_20,volume_ratio,awesome_osc
2012-04-02,102.459,102.727,101.433,101.638,374700,0.008,67.278,1.116,1.155,-0.039,89.913,78.03,103.65,97.495,100.572,6.12,0.907,100.711,98.316,92.584,101.562,100.53,98.121,99.662,101.398,30.454,471780.0,0.794,2.182
2012-04-03,102.064,102.49,101.448,102.269,333850,-0.004,63.533,1.091,1.142,-0.051,75.047,79.613,103.442,98.229,100.836,5.171,0.916,100.84,98.463,92.679,101.663,100.53,98.121,99.662,101.398,30.156,467917.5,0.713,1.988
2012-04-04,100.99,101.354,100.69,101.259,383000,-0.011,54.627,0.973,1.108,-0.135,34.626,66.529,103.14,98.873,101.006,4.225,0.949,100.854,98.562,92.762,101.528,100.53,98.121,99.662,101.398,28.933,478550.0,0.8,1.782
2012-04-05,100.959,101.275,100.58,100.675,722350,-0.0,54.39,0.867,1.06,-0.193,33.459,47.71,102.932,99.326,101.129,3.566,0.931,100.864,98.656,92.843,101.414,100.63,98.121,99.662,101.598,27.666,501987.5,1.439,1.671
2012-04-09,99.838,100.248,99.585,99.711,474850,-0.011,46.53,0.685,0.985,-0.3,8.052,25.379,102.78,99.572,101.176,3.171,0.963,100.766,98.703,92.913,101.099,100.409,98.121,99.662,101.156,25.97,518082.5,0.917,1.284
2012-04-10,98.101,99.917,98.069,99.648,392650,-0.017,37.488,0.396,0.867,-0.471,0.687,14.066,102.993,99.275,101.134,3.677,1.026,100.512,98.679,92.964,100.499,100.03,98.121,99.662,100.398,25.646,528980.0,0.742,0.643
2012-04-11,98.906,99.333,98.796,99.206,172850,0.008,43.015,0.229,0.74,-0.51,17.969,8.903,103.137,98.95,101.044,4.143,1.041,100.359,98.688,93.023,100.181,100.03,98.121,99.662,100.398,25.346,528017.5,0.327,0.028
2012-04-12,100.264,100.311,99.001,99.017,105550,0.014,50.901,0.204,0.633,-0.428,47.123,21.926,103.139,98.911,101.025,4.185,1.067,100.35,98.75,93.095,100.197,100.14,98.121,99.882,100.398,24.026,497797.5,0.212,-0.298
2012-04-13,99.064,100.027,98.969,100.027,2416850,-0.012,44.978,0.087,0.523,-0.437,21.361,28.818,103.199,98.642,100.921,4.515,1.083,100.228,98.762,93.155,99.971,100.372,98.365,100.346,100.398,22.828,593557.5,4.072,-0.615
2012-04-16,98.954,99.711,98.638,99.601,826850,-0.001,44.467,-0.015,0.416,-0.431,19.0,29.161,103.229,98.378,100.803,4.812,1.082,100.106,98.77,93.213,99.767,100.339,98.86,100.398,100.28,22.012,621287.5,1.331,-0.79
2012-04-17,100.469,100.675,99.538,99.601,497450,0.015,52.473,0.026,0.338,-0.312,51.524,30.628,103.132,98.349,100.741,4.748,1.128,100.141,98.836,93.285,99.908,100.055,98.9,100.398,99.712,20.606,638985.0,0.779,-0.609
2012-04-18,100.122,100.454,99.948,100.043,420750,-0.003,50.671,0.03,0.276,-0.246,44.075,38.2,103.059,98.291,100.675,4.735,1.084,100.139,98.887,93.353,99.951,100.035,99.418,100.398,99.672,19.3,594482.5,0.708,-0.421
2012-04-19,99.475,100.501,99.032,100.154,831200,-0.006,47.402,-0.018,0.217,-0.236,30.185,41.928,103.006,98.163,100.585,4.815,1.112,100.076,98.91,93.414,99.855,99.885,99.418,100.398,99.372,18.629,627937.5,1.324,-0.428
2012-04-20,99.632,100.248,99.601,99.932,112100,0.002,48.274,-0.044,0.165,-0.209,33.555,35.938,102.998,98.085,100.542,4.887,1.088,100.034,98.938,93.476,99.811,99.885,99.418,100.398,99.372,18.007,601882.5,0.186,-0.375
2012-04-23,98.78,98.89,98.211,98.638,324950,-0.009,44.011,-0.131,0.106,-0.237,16.082,26.607,103.003,97.869,100.436,5.111,1.112,99.914,98.932,93.528,99.605,99.92,99.481,100.398,99.443,18.548,612532.5,0.531,-0.507
2012-04-24,99.143,99.411,98.843,98.875,469300,0.004,46.191,-0.169,0.051,-0.22,32.694,27.444,102.764,97.798,100.281,4.952,1.077,99.841,98.94,93.584,99.512,99.92,99.481,100.398,99.443,18.462,625847.5,0.75,-0.767
2012-04-25,100.533,100.564,100.075,100.138,171750,0.014,53.637,-0.086,0.024,-0.109,76.856,41.877,102.573,97.845,100.209,4.718,1.102,99.907,99.003,93.653,99.716,99.92,99.481,100.398,99.443,17.249,605757.5,0.284,-0.829
2012-04-26,101.227,101.354,100.264,100.359,157100,0.007,56.848,0.036,0.026,0.01,96.134,68.561,102.535,97.857,100.196,4.669,1.101,100.032,99.09,93.729,100.019,100.09,99.646,100.398,99.782,16.568,603545.0,0.26,-0.694
2012-04-27,101.432,101.701,101.006,101.575,185050,0.002,57.778,0.147,0.05,0.097,92.594,88.528,102.554,97.851,100.202,4.693,1.072,100.166,99.182,93.805,100.301,100.177,99.646,100.398,99.956,16.208,482195.0,0.384,-0.48
2012-04-30,100.99,101.259,100.769,101.227,247600,-0.004,55.024,0.197,0.079,0.117,79.628,89.452,102.459,97.882,100.17,4.569,1.043,100.244,99.253,93.877,100.439,100.177,99.654,100.398,99.956,15.639,481037.5,0.515,-0.052
